,funding_cycle,county_name,visit_type,item,variable,variable_detail,frequency_count,percent,date_closed,location,:@computed_region_43an_4dx5,:@computed_region_9yqb_tdyd,:@computed_region_assa_msit,:@computed_region_8ire_itmf,:@computed_region_5edz_4hdv
0,2014-2019,Albany,Initial visits,Housing condition,Chemical smell indoors,No,1244,96.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
1,2014-2019,Albany,Initial visits,Housing condition,Chemical smell indoors,Unknown,12,0.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
2,2014-2019,Albany,Initial visits,Housing condition,Chemical smell indoors,Yes,36,2.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
3,2014-2019,Albany,Initial visits,Housing condition,"Cockroaches, evidence or reported",No,1016,78.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
4,2014-2019,Albany,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
5,2014-2019,Albany,Initial visits,Housing condition,"Cockroaches, evidence or reported",Yes,266,20.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
6,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint inside,No,809,83.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
7,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,321,,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
8,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint inside,Unknown,5,0.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
9,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint inside,Yes,157,16.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
10,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint outside,No,807,83.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
11,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,321,,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
12,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint outside,Unknown,6,0.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
13,2014-2019,Albany,Initial visits,Housing condition,Deteriorated paint outside,Yes,158,16.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
14,2014-2019,Albany,Initial visits,Housing condition,Effective housecleaning,No,118,9.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
15,2014-2019,Albany,Initial visits,Housing condition,Effective housecleaning,Unknown,11,0.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
16,2014-2019,Albany,Initial visits,Housing condition,Effective housecleaning,Yes,1163,90.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
17,2014-2019,Albany,Initial visits,Housing condition,Electrical hazards,No,1187,91.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
18,2014-2019,Albany,Initial visits,Housing condition,Electrical hazards,Unknown,15,1.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
19,2014-2019,Albany,Initial visits,Housing condition,Electrical hazards,Yes,90,7.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
20,2014-2019,Albany,Initial visits,Housing condition,Every room has ventilation,No,89,6.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
21,2014-2019,Albany,Initial visits,Housing condition,Every room has ventilation,Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
22,2014-2019,Albany,Initial visits,Housing condition,Every room has ventilation,Yes,1193,92.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
23,2014-2019,Albany,Initial visits,Housing condition,Exits function properly,No,52,4.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
24,2014-2019,Albany,Initial visits,Housing condition,Exits function properly,Unknown,8,0.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
25,2014-2019,Albany,Initial visits,Housing condition,Exits function properly,Yes,1232,95.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
26,2014-2019,Albany,Initial visits,Housing condition,Food/harborage for cockroaches,No,1240,96.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
27,2014-2019,Albany,Initial visits,Housing condition,Food/harborage for cockroaches,Unknown,15,1.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
28,2014-2019,Albany,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,37,2.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
29,2014-2019,Albany,Initial visits,Housing condition,Functional fire extinguisher,No,1177,91.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
30,2014-2019,Albany,Initial visits,Housing condition,Functional fire extinguisher,Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
31,2014-2019,Albany,Initial visits,Housing condition,Functional fire extinguisher,Yes,105,8.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
32,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detector on every floor,No,221,17.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
33,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detector on every floor,Unknown,6,0.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
34,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detector on every floor,Yes,1065,82.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
35,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detectors in common areas,No,436,33.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
36,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detectors in common areas,Unknown,62,4.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
37,2014-2019,Albany,Initial visits,Housing condition,Functional smoke detectors in common areas,Yes,794,61.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
38,2014-2019,Albany,Initial visits,Housing condition,Furnace filter dirty or missing,No,880,68.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
39,2014-2019,Albany,Initial visits,Housing condition,Furnace filter dirty or missing,Unknown,369,28.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
40,2014-2019,Albany,Initial visits,Housing condition,Furnace filter dirty or missing,Yes,43,3.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
41,2014-2019,Albany,Initial visits,Housing condition,Humidifier or vaporizer used,No,986,76.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
42,2014-2019,Albany,Initial visits,Housing condition,Humidifier or vaporizer used,Unknown,41,3.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
43,2014-2019,Albany,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,265,20.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
44,2014-2019,Albany,Initial visits,Housing condition,Improperly stored flammables,No,1206,93.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
45,2014-2019,Albany,Initial visits,Housing condition,Improperly stored flammables,Unknown,73,5.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
46,2014-2019,Albany,Initial visits,Housing condition,Improperly stored flammables,Yes,13,1.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
47,2014-2019,Albany,Initial visits,Housing condition,Improperly stored garbage inside,No,1220,94.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
48,2014-2019,Albany,Initial visits,Housing condition,Improperly stored garbage inside,Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
49,2014-2019,Albany,Initial visits,Housing condition,Improperly stored garbage inside,Yes,62,4.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
50,2014-2019,Albany,Initial visits,Housing condition,Improperly stored garbage near building,No,1185,91.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
51,2014-2019,Albany,Initial visits,Housing condition,Improperly stored garbage near building,Unknown,17,1.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
52,2014-2019,Albany,Initial visits,Housing condition,Improperly stored garbage near building,Yes,90,7.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
53,2014-2019,Albany,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,No,1107,85.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
54,2014-2019,Albany,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Unknown,12,0.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
55,2014-2019,Albany,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Yes,173,13.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
56,2014-2019,Albany,Initial visits,Housing condition,"Mice, evidence or reported",No,796,61.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
57,2014-2019,Albany,Initial visits,Housing condition,"Mice, evidence or reported",Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
58,2014-2019,Albany,Initial visits,Housing condition,"Mice, evidence or reported",Yes,486,37.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
59,2014-2019,Albany,Initial visits,Housing condition,"Mold or mildew, observed or smell",No,1134,87.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
60,2014-2019,Albany,Initial visits,Housing condition,"Mold or mildew, observed or smell",Unknown,30,2.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
61,2014-2019,Albany,Initial visits,Housing condition,"Mold or mildew, observed or smell",Yes,128,9.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
62,2014-2019,Albany,Initial visits,Housing condition,Plumbing leaks,No,1193,92.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
63,2014-2019,Albany,Initial visits,Housing condition,Plumbing leaks,Unknown,11,0.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
64,2014-2019,Albany,Initial visits,Housing condition,Plumbing leaks,Yes,88,6.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
65,2014-2019,Albany,Initial visits,Housing condition,"Rats, evidence or reported",No,1257,97.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
66,2014-2019,Albany,Initial visits,Housing condition,"Rats, evidence or reported",Unknown,13,1.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
67,2014-2019,Albany,Initial visits,Housing condition,"Rats, evidence or reported",Yes,22,1.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
68,2014-2019,Albany,Initial visits,Housing condition,Residents practice exit drills,No,859,66.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
69,2014-2019,Albany,Initial visits,Housing condition,Residents practice exit drills,Unknown,35,2.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
70,2014-2019,Albany,Initial visits,Housing condition,Residents practice exit drills,Yes,398,30.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
71,2014-2019,Albany,Initial visits,Housing condition,Roofing or structural leaks,No,1169,90.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
72,2014-2019,Albany,Initial visits,Housing condition,Roofing or structural leaks,Unknown,13,1.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
73,2014-2019,Albany,Initial visits,Housing condition,Roofing or structural leaks,Yes,110,8.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
74,2014-2019,Albany,Initial visits,Housing condition,Significant clutter,No,1148,88.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
75,2014-2019,Albany,Initial visits,Housing condition,Significant clutter,Unknown,13,1.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
76,2014-2019,Albany,Initial visits,Housing condition,Significant clutter,Yes,131,10.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
77,2014-2019,Albany,Initial visits,Housing condition,Significant dust accumulation,No,640,49.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
78,2014-2019,Albany,Initial visits,Housing condition,Significant dust accumulation,Unknown,12,0.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
79,2014-2019,Albany,Initial visits,Housing condition,Significant dust accumulation,Yes,640,49.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
80,2014-2019,Albany,Initial visits,Housing condition,Smell of scented products,No,812,62.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
81,2014-2019,Albany,Initial visits,Housing condition,Smell of scented products,Unknown,23,1.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
82,2014-2019,Albany,Initial visits,Housing condition,Smell of scented products,Yes,457,35.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
83,2014-2019,Albany,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,No,204,15.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
84,2014-2019,Albany,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,8,0.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
85,2014-2019,Albany,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,1080,83.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
86,2014-2019,Albany,Initial visits,Housing condition,Smoker in home,No,929,71.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
87,2014-2019,Albany,Initial visits,Housing condition,Smoker in home,Unknown,5,0.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
88,2014-2019,Albany,Initial visits,Housing condition,Smoker in home,Yes,358,27.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
89,2014-2019,Albany,Initial visits,Housing condition,Smoking allowed in home,No,107,29.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
90,2014-2019,Albany,Initial visits,Housing condition,Smoking allowed in home,Not applicable,934,,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
91,2014-2019,Albany,Initial visits,Housing condition,Smoking allowed in home,Unknown,36,10.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
92,2014-2019,Albany,Initial visits,Housing condition,Smoking allowed in home,Yes,215,60.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
93,2014-2019,Albany,Initial visits,Housing condition,Smoking limited to certain rooms,No,166,46.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
94,2014-2019,Albany,Initial visits,Housing condition,Smoking limited to certain rooms,Not applicable,934,,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
95,2014-2019,Albany,Initial visits,Housing condition,Smoking limited to certain rooms,Unknown,55,15.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
96,2014-2019,Albany,Initial visits,Housing condition,Smoking limited to certain rooms,Yes,137,38.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
97,2014-2019,Albany,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",No,209,16.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
98,2014-2019,Albany,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Unknown,10,0.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
99,2014-2019,Albany,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,1073,83.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
100,2014-2019,Albany,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,No,817,63.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
101,2014-2019,Albany,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Unknown,14,1.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
102,2014-2019,Albany,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Yes,461,35.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
103,2014-2019,Albany,Initial visits,Housing condition,Working carbon monoxide detector,No,450,34.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
104,2014-2019,Albany,Initial visits,Housing condition,Working carbon monoxide detector,Unknown,22,1.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
105,2014-2019,Albany,Initial visits,Housing condition,Working carbon monoxide detector,Yes,820,63.5,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
106,2014-2019,Albany,Initial visits,Housing information,Age of building,1950-1978,335,25.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
107,2014-2019,Albany,Initial visits,Housing information,Age of building,Post-1978,163,12.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
108,2014-2019,Albany,Initial visits,Housing information,Age of building,Pre-1950,636,49.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
109,2014-2019,Albany,Initial visits,Housing information,Age of building,Unknown,158,12.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
110,2014-2019,Albany,Initial visits,Housing information,Owner occupied,No,1,0.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
111,2014-2019,Albany,Initial visits,Housing information,Owner occupied,Unknown,4,2.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
112,2014-2019,Albany,Initial visits,Housing information,Owner occupied,Yes,142,96.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
113,2014-2019,Albany,Initial visits,Housing information,Rental assistance,No/Unknown,696,61.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
114,2014-2019,Albany,Initial visits,Housing information,Rental assistance,Yes,441,38.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
115,2014-2019,Albany,Initial visits,Housing information,Renter/owner,Own,147,11.4,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
116,2014-2019,Albany,Initial visits,Housing information,Renter/owner,"Rent, private",591,45.7,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
117,2014-2019,Albany,Initial visits,Housing information,Renter/owner,"Rent, public",546,42.3,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
118,2014-2019,Albany,Initial visits,Housing information,Renter/owner,,8,0.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
119,2014-2019,Albany,Initial visits,Housing information,Units in building,1 unit,181,14.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
120,2014-2019,Albany,Initial visits,Housing information,Units in building,2 units,390,30.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
121,2014-2019,Albany,Initial visits,Housing information,Units in building,3 units,124,9.6,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
122,2014-2019,Albany,Initial visits,Housing information,Units in building,4 units,37,2.9,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
123,2014-2019,Albany,Initial visits,Housing information,Units in building,>5 units,479,37.1,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
124,2014-2019,Albany,Initial visits,Housing information,Units in building,5 units,16,1.2,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
125,2014-2019,Albany,Initial visits,Housing information,Units in building,Unknown,65,5.0,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
126,2014-2019,Albany,Initial visits,Respondent demographics,High school diploma or equivalent,No,308,23.8,2017-10-27T00:00:00.000,"{'latitude': '42.678066', 'longitude': '-73.814233'}",40.0,2030.0,34.0,1.0,573.0
